lat,lon
22.5,-105.75
22.5,-98.0
22.5,-84.25
22.5,-83.0
22.5,-82.0
22.25,-105.5
22.25,-97.75
22.25,-84.5
22.25,-83.75
22.25,-83.5
22.25,-83.25
22.25,-82.0
22.25,-81.75
22.25,-81.5
22.25,-81.25
22.0,-105.5
22.0,-97.75
22.0,-84.5
22.0,-84.25
22.0,-84.0
22.0,-81.0
22.0,-80.75
22.0,-80.5
22.0,-80.25
21.75,-105.5
21.75,-97.75
21.75,-80.0
21.5,-105.25
21.5,-97.5
21.5,-88.75
21.5,-88.5
21.5,-88.25
21.5,-88.0
21.5,-87.75
21.5,-87.5
21.5,-87.25
21.5,-87.0
21.25,-105.25
21.25,-97.5
21.25,-90.0
21.25,-89.75
21.25,-89.5
21.25,-89.25
21.25,-89.0
21.25,-86.75
21.0,-105.25
21.0,-97.25
21.0,-90.5
21.0,-90.25
21.0,-86.75
20.75,-105.25
20.75,-97.25
20.75,-90.25
20.75,-87.0
20.5,-105.5
20.5,-97.0
20.5,-90.5
20.5,-87.25
20.25,-105.5
20.25,-96.75
20.25,-90.5
20.25,-87.5
20.0,-105.5
20.0,-96.5
20.0,-90.5
20.0,-87.5
19.75,-105.25
19.75,-96.5
19.75,-90.5
19.75,-87.5
19.5,-105.0
19.5,-96.25
19.5,-90.75
19.5,-87.5
19.25,-104.75
19.25,-104.5
19.25,-96.25
19.25,-90.75
19.25,-87.75
19.0,-104.25
19.0,-104.0
19.0,-96.0
19.0,-91.25
19.0,-91.0
19.0,-87.75
18.75,-103.75
18.75,-95.75
18.75,-95.5
18.75,-95.25
18.75,-92.5
18.75,-92.25
18.75,-92.0
18.75,-91.25
18.75,-87.75
18.5,-103.5
18.5,-95.0
18.5,-94.75
18.5,-93.25
18.5,-93.0
18.5,-92.75
18.5,-91.75
18.5,-91.5
18.5,-88.0
18.5,-87.75
18.25,-103.5
18.25,-103.25
18.25,-103.0
18.25,-94.5
18.25,-94.25
18.25,-94.0
18.25,-93.75
18.25,-93.5
18.25,-88.25
18.0,-102.75
18.0,-102.5
18.0,-102.25
18.0,-102.0
18.0,-88.25
17.75,-101.75
17.75,-88.25
17.5,-101.5
17.5,-101.25
17.5,-88.25
17.25,-101.0
17.25,-100.75
17.25,-100.5
17.25,-88.25
17.0,-100.25
17.0,-100.0
17.0,-88.25
16.75,-99.75
16.75,-99.5
16.75,-99.25
16.75,-99.0
16.75,-88.25
16.5,-98.75
16.5,-88.5
16.25,-98.5
16.25,-98.25
16.25,-98.0
16.25,-95.0
16.25,-94.75
16.25,-94.5
16.25,-94.25
16.25,-88.75
16.0,-97.75
16.0,-97.5
16.0,-97.25
16.0,-95.75
16.0,-95.5
16.0,-95.25
16.0,-94.0
16.0,-93.75
16.0,-88.75
16.0,-87.75
16.0,-86.25
16.0,-86.0
16.0,-85.75
16.0,-85.5
16.0,-85.25
16.0,-85.0
16.0,-84.75
15.75,-97.0
15.75,-96.75
15.75,-96.5
15.75,-96.25
15.75,-96.0
15.75,-93.5
15.75,-88.5
15.75,-88.25
15.75,-88.0
15.75,-87.5
15.75,-87.25
15.75,-87.0
15.75,-86.75
15.75,-86.5
15.75,-84.5
15.75,-84.25
15.5,-93.25
15.5,-84.0
15.25,-93.0
15.25,-83.75
15.25,-83.5
15.0,-92.75
15.0,-83.25
14.75,-92.5
14.75,-92.25
14.75,-83.5
14.5,-92.0
14.5,-83.25
14.25,-91.75
14.25,-83.25
14.0,-91.5
14.0,-91.25
14.0,-91.0
14.0,-90.75
14.0,-83.5
13.75,-90.5
13.75,-90.25
13.75,-90.0
13.75,-83.5
13.5,-89.75
13.5,-89.5
13.5,-89.25
13.5,-89.0
13.5,-83.5
13.25,-88.75
13.25,-88.5
13.25,-88.25
13.25,-88.0
13.25,-87.75
13.25,-83.5
13.0,-87.5
13.0,-83.5
12.75,-87.5
12.75,-83.5
12.5,-87.25
12.5,-87.0
12.5,-83.5
12.25,-86.75
12.25,-83.75
12.0,-86.75
12.0,-83.75
11.75,-86.5
11.75,-83.75
11.5,-86.25
11.5,-83.75
11.25,-86.0
11.25,-83.75
11.0,-85.75
11.0,-83.75
10.75,-85.75
10.75,-83.5
10.5,-85.75
10.5,-83.5
10.25,-85.75
10.25,-83.25
10.0,-85.75
10.0,-85.5
10.0,-83.0
